Source, Target, Type, Id, Weight
6, 1, Directed, 1, 1
9, 1, Directed, 2, 1
10, 1, Directed, 3, 1
18, 1, Directed, 4, 3
19, 1, Directed, 5, 3
21, 1, Directed, 6, 3
22, 1, Directed, 7, 3
24, 1, Directed, 8, 3
25, 1, Directed, 9, 3
26, 1, Directed, 10, 3
6, 2, Directed, 11, 1
9, 2, Directed, 12, 1
12, 2, Directed, 13, 1
15, 2, Directed, 14, 3
1, 3, Directed, 15, 1
5, 3, Directed, 16, 1
6, 3, Directed, 17, 1
7, 3, Directed, 18, 1
8, 3, Directed, 19, 1
10, 3, Directed, 20, 1
11, 3, Directed, 21, 1
14, 3, Directed, 22, 1
16, 3, Directed, 23, 3
19, 3, Directed, 24, 3
20, 3, Directed, 25, 3
23, 3, Directed, 26, 3
24, 3, Directed, 27, 3
26, 3, Directed, 28, 3
1, 4, Directed, 29, 1
11, 4, Directed, 30, 1
18, 4, Directed, 31, 3
19, 4, Directed, 32, 3
20, 4, Directed, 33, 3
24, 4, Directed, 34, 3
1, 5, Directed, 35, 1
7, 5, Directed, 36, 1
8, 5, Directed, 37, 1
9, 5, Directed, 38, 1
10, 5, Directed, 39, 1
13, 5, Directed, 40, 1
14, 5, Directed, 41, 1
17, 5, Directed, 42, 3
22, 5, Directed, 43, 3
23, 5, Directed, 44, 3
24, 5, Directed, 45, 3
26, 5, Directed, 46, 3
1, 6, Directed, 47, 1
9, 6, Directed, 48, 1
12, 6, Directed, 49, 1
18, 6, Directed, 50, 3
23, 6, Directed, 51, 3
24, 6, Directed, 52, 3
25, 6, Directed, 53, 3
8, 7, Directed, 54, 1
14, 7, Directed, 55, 1
15, 7, Directed, 56, 3
17, 7, Directed, 57, 3
24, 7, Directed, 58, 3
25, 7, Directed, 59, 3
26, 7, Directed, 60, 3
1, 8, Directed, 61, 1
4, 8, Directed, 62, 1
5, 8, Directed, 63, 1
6, 8, Directed, 64, 1
7, 8, Directed, 65, 1
16, 8, Directed, 66, 3
17, 8, Directed, 67, 3
18, 8, Directed, 68, 3
25, 8, Directed, 69, 3
1, 9, Directed, 70, 1
2, 9, Directed, 71, 1
12, 9, Directed, 72, 1
19, 9, Directed, 73, 3
21, 9, Directed, 74, 3
22, 9, Directed, 75, 3
23, 9, Directed, 76, 3
2, 10, Directed, 77, 1
3, 10, Directed, 78, 1
4, 10, Directed, 79, 1
7, 10, Directed, 80, 1
8, 10, Directed, 81, 1
11, 10, Directed, 82, 1
13, 10, Directed, 83, 1
14, 10, Directed, 84, 1
16, 10, Directed, 85, 3
21, 10, Directed, 86, 3
24, 10, Directed, 87, 3
25, 10, Directed, 88, 3
1, 11, Directed, 89, 1
2, 11, Directed, 90, 1
3, 11, Directed, 91, 1
7, 11, Directed, 92, 1
8, 11, Directed, 93, 1
13, 11, Directed, 94, 1
14, 11, Directed, 95, 1
15, 11, Directed, 96, 3
24, 11, Directed, 97, 3
26, 11, Directed, 98, 3
2, 12, Directed, 99, 1
7, 12, Directed, 100, 1
9, 12, Directed, 101, 1
11, 12, Directed, 102, 1
19, 12, Directed, 103, 3
21, 12, Directed, 104, 3
22, 12, Directed, 105, 3
24, 12, Directed, 106, 3
26, 12, Directed, 107, 3
1, 13, Directed, 108, 1
2, 13, Directed, 109, 1
5, 13, Directed, 110, 1
11, 13, Directed, 111, 1
12, 13, Directed, 112, 1
15, 13, Directed, 113, 3
19, 13, Directed, 114, 3
20, 13, Directed, 115, 3
21, 13, Directed, 116, 3
23, 13, Directed, 117, 3
24, 13, Directed, 118, 3
26, 13, Directed, 119, 3
2, 14, Directed, 120, 1
5, 14, Directed, 121, 1
7, 14, Directed, 122, 1
9, 14, Directed, 123, 1
11, 14, Directed, 124, 1
12, 14, Directed, 125, 1
15, 14, Directed, 126, 3
19, 14, Directed, 127, 3
21, 14, Directed, 128, 3
22, 14, Directed, 129, 3
24, 14, Directed, 130, 3
26, 14, Directed, 131, 3
1, 15, Directed, 132, 2
4, 15, Directed, 133, 2
5, 15, Directed, 134, 2
10, 15, Directed, 135, 2
17, 15, Directed, 136, 4
20, 15, Directed, 137, 4
22, 15, Directed, 138, 4
25, 15, Directed, 139, 4
1, 16, Directed, 140, 2
8, 16, Directed, 141, 2
10, 16, Directed, 142, 2
12, 16, Directed, 143, 2
14, 16, Directed, 144, 2
15, 16, Directed, 145, 4
19, 16, Directed, 146, 4
21, 16, Directed, 147, 4
25, 16, Directed, 148, 4
1, 17, Directed, 149, 2
3, 17, Directed, 150, 2
4, 17, Directed, 151, 2
9, 17, Directed, 152, 2
10, 17, Directed, 153, 2
16, 17, Directed, 154, 4
19, 17, Directed, 155, 4
23, 17, Directed, 156, 4
4, 18, Directed, 157, 2
5, 18, Directed, 158, 2
9, 18, Directed, 159, 2
11, 18, Directed, 160, 2
12, 18, Directed, 161, 2
13, 18, Directed, 162, 2
19, 18, Directed, 163, 4
20, 18, Directed, 164, 4
21, 18, Directed, 165, 4
1, 19, Directed, 166, 2
2, 19, Directed, 167, 2
6, 19, Directed, 168, 2
9, 19, Directed, 169, 2
10, 19, Directed, 170, 2
11, 19, Directed, 171, 2
14, 19, Directed, 172, 2
17, 19, Directed, 173, 4
22, 19, Directed, 174, 4
24, 19, Directed, 175, 4
6, 20, Directed, 176, 2
9, 20, Directed, 177, 2
11, 20, Directed, 178, 2
12, 20, Directed, 179, 2
13, 20, Directed, 180, 2
14, 20, Directed, 181, 2
15, 20, Directed, 182, 4
18, 20, Directed, 183, 4
23, 20, Directed, 184, 4
24, 20, Directed, 185, 4
26, 20, Directed, 186, 4
2, 21, Directed, 187, 2
3, 21, Directed, 188, 2
10, 21, Directed, 189, 2
18, 21, Directed, 190, 4
20, 21, Directed, 191, 4
22, 21, Directed, 192, 4
25, 21, Directed, 193, 4
1, 22, Directed, 194, 2
7, 22, Directed, 195, 2
11, 22, Directed, 196, 2
12, 22, Directed, 197, 2
13, 22, Directed, 198, 2
14, 22, Directed, 199, 2
17, 22, Directed, 200, 4
18, 22, Directed, 201, 4
19, 22, Directed, 202, 4
23, 22, Directed, 203, 4
24, 22, Directed, 204, 4
25, 22, Directed, 205, 4
1, 23, Directed, 206, 2
2, 23, Directed, 207, 2
11, 23, Directed, 208, 2
15, 23, Directed, 209, 4
17, 23, Directed, 210, 4
18, 23, Directed, 211, 4
24, 23, Directed, 212, 4
1, 24, Directed, 213, 2
2, 24, Directed, 214, 2
5, 24, Directed, 215, 2
6, 24, Directed, 216, 2
8, 24, Directed, 217, 2
11, 24, Directed, 218, 2
13, 24, Directed, 219, 2
14, 24, Directed, 220, 2
17, 24, Directed, 221, 4
19, 24, Directed, 222, 4
23, 24, Directed, 223, 4
25, 24, Directed, 224, 4
26, 24, Directed, 225, 4
5, 25, Directed, 226, 2
6, 25, Directed, 227, 2
13, 25, Directed, 228, 2
16, 25, Directed, 229, 4
22, 25, Directed, 230, 4
23, 25, Directed, 231, 4
1, 26, Directed, 232, 2
3, 26, Directed, 233, 2
9, 26, Directed, 234, 2
11, 26, Directed, 235, 2
12, 26, Directed, 236, 2
13, 26, Directed, 237, 2
15, 26, Directed, 238, 4
16, 26, Directed, 239, 4
19, 26, Directed, 240, 4
21, 26, Directed, 241, 4
23, 26, Directed, 242, 4
25, 26, Directed, 243, 4
